"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012190100","POONA, IN","2002-03-12",,"82","98","63"
"IN012190100","POONA, IN","2002-03-13",,"81","95","67"
"IN012190100","POONA, IN","2002-03-14",,"78","90",
"IN012190100","POONA, IN","2002-03-15",,"77","92","60"
"IN012190100","POONA, IN","2002-03-16",,"80","95","62"
"IN012190100","POONA, IN","2002-03-17",,"83","97","62"
"IN012190100","POONA, IN","2002-03-18",,"80","97","63"
"IN012190100","POONA, IN","2002-03-19",,"85","99","63"
"IN012190100","POONA, IN","2002-03-20",,"83",,
"IN012190100","POONA, IN","2002-03-21",,"79","97","64"
"IN012190100","POONA, IN","2002-03-22",,"82","96","62"
"IN012190100","POONA, IN","2002-03-23",,"81",,"58"
"IN012190100","POONA, IN","2002-03-24",,"81","97","62"
"IN012190100","POONA, IN","2002-03-25",,"78","96","61"
"IN012190100","POONA, IN","2002-03-26",,"81","98",
"IN012190100","POONA, IN","2002-03-27",,"79","97","58"
"IN012190100","POONA, IN","2002-03-28","0.00","80","98","58"
"IN012190100","POONA, IN","2002-03-29",,"81","99","60"
"IN012190100","POONA, IN","2002-03-30","0.00","82","101","61"
"IN012190100","POONA, IN","2002-03-31",,"83","102","63"
"IN012190100","POONA, IN","2002-04-01",,"86","100","62"
"IN012190100","POONA, IN","2002-04-02",,"83","96","64"
"IN012190100","POONA, IN","2002-04-03",,"82","98","68"
"IN012190100","POONA, IN","2002-04-04",,"85","100","63"
"IN012190100","POONA, IN","2002-04-05",,"85","102","71"
"IN012190100","POONA, IN","2002-04-06",,"83","100",
"IN012190100","POONA, IN","2002-04-07","0.16","81","94","69"
"IN012190100","POONA, IN","2002-04-08","0.00","80",,"69"
"IN012190100","POONA, IN","2002-04-09",,"87","97",
"IN012190100","POONA, IN","2002-04-10",,"85",,"65"
"IN012190100","POONA, IN","2002-04-11","0.00","81","99","63"
"IN012190100","POONA, IN","2002-04-12",,"82","101","63"
"IN012190100","POONA, IN","2002-04-13",,"86","102","66"
"IN012190100","POONA, IN","2002-04-14","0.00","85","100","66"
"IN012190100","POONA, IN","2002-04-15","0.00","86","102","66"
"IN012190100","POONA, IN","2002-04-16",,"84","102","70"
"IN012190100","POONA, IN","2002-04-17",,"90","103","70"
"IN012190100","POONA, IN","2002-04-18",,"88","103","72"
"IN012190100","POONA, IN","2002-04-19",,"90","104","74"
"IN012190100","POONA, IN","2002-04-20",,"90","103",
"IN012190100","POONA, IN","2002-04-21",,"91","103","77"
"IN012190100","POONA, IN","2002-04-22",,"88","100",
"IN012190100","POONA, IN","2002-04-23",,"86","100","69"
"IN012190100","POONA, IN","2002-04-24",,"88","104","67"
"IN012190100","POONA, IN","2002-04-25",,"87","100","69"
"IN012190100","POONA, IN","2002-04-26",,"89","105","66"
"IN012190100","POONA, IN","2002-04-27",,"92","105","70"
"IN012190100","POONA, IN","2002-04-28",,"88","106","68"
"IN012190100","POONA, IN","2002-04-29",,"89","105","71"
"IN012190100","POONA, IN","2002-04-30",,"93","106","72"
"IN012190100","POONA, IN","2002-05-01",,"91","108","73"
"IN012190100","POONA, IN","2002-05-02",,"94","108","73"
"IN012190100","POONA, IN","2002-05-03",,"89","107","78"
"IN012190100","POONA, IN","2002-05-04",,"90","108","77"
"IN012190100","POONA, IN","2002-05-05",,"88","104","78"
"IN012190100","POONA, IN","2002-05-06",,"86","98","77"
"IN012190100","POONA, IN","2002-05-07",,"87","103","74"
"IN012190100","POONA, IN","2002-05-08",,"85","99",
"IN012190100","POONA, IN","2002-05-09",,"85",,"73"
"IN012190100","POONA, IN","2002-05-10",,"84","96","77"
"IN012190100","POONA, IN","2002-05-11",,"83","92","77"
"IN012190100","POONA, IN","2002-05-12",,"84","94","77"
"IN012190100","POONA, IN","2002-05-13",,"85","94","76"
"IN012190100","POONA, IN","2002-05-14",,"81","95","76"
"IN012190100","POONA, IN","2002-05-15",,"84","96","75"
"IN012190100","POONA, IN","2002-05-16",,"84","96","76"
"IN012190100","POONA, IN","2002-05-17",,"85","94","77"
"IN012190100","POONA, IN","2002-05-18",,"84","93","76"
"IN012190100","POONA, IN","2002-05-19",,"84","93","76"
"IN012190100","POONA, IN","2002-05-20",,"83","94","76"
"IN012190100","POONA, IN","2002-05-21",,"86","95","75"
"IN012190100","POONA, IN","2002-05-22",,"83","96","75"
"IN012190100","POONA, IN","2002-05-23",,"84","98","74"
"IN012190100","POONA, IN","2002-05-24",,"85","99","75"
"IN012190100","POONA, IN","2002-05-25",,"86","98","74"
"IN012190100","POONA, IN","2002-05-26",,"82","94","75"
"IN012190100","POONA, IN","2002-05-27",,"85","95","76"
"IN012190100","POONA, IN","2002-05-28",,"84","96","75"
"IN012190100","POONA, IN","2002-05-29",,"84","97","75"
